GeoName,Year,All industry total,Personal income (thousands of dollars),Population (persons) 3/,Total employment,Wages and salaries
"Allen, IN",2011,0.188731104,0.320808244,0.389847934,0.322343744,0.254647838
"Bartholomew, IN",2011,0.063151448,0.072741822,0.078680441,0.07503601,0.071283673
"Benton, IN",2011,0.002927399,0.002942962,0.003084339,0.002343744,0.001404993
"Blackford, IN",2011,0.001745334,0.004329817,0.007321445,0.003662553,0.002412658
"Boone, IN",2011,0.024212739,0.074571874,0.057418796,0.042151207,0.027985846
"Brown, IN",2011,0.001273595,0.008196418,0.009997628,0.00511165,0.001285083
"Carroll, IN",2011,0.005938933,0.012216452,0.015437141,0.007620426,0.004256657
"Cass, IN",2011,0.013244373,0.024700769,0.036301661,0.023671963,0.015939044
"Clark, IN",2011,0.051490537,0.093745242,0.116579428,0.083197857,0.058729243
"Clay, IN",2011,0.005982061,0.015220263,0.022958252,0.012125511,0.006369204
"Clinton, IN",2011,0.01273337,0.020572531,0.029888088,0.017733705,0.012435498
"Crawford, IN",2011,0.000481617,0.001618191,0.005021428,0.001887735,0.00047104
"Daviess, IN",2011,0.010579106,0.021332134,0.028549996,0.020246824,0.010939561
"DeKalb, IN",2011,0.02218017,0.031041085,0.040149363,0.031978575,0.02603337
"Dearborn, IN",2011,0.017645553,0.04057898,0.048584965,0.026552785,0.017799295
"Decatur, IN",2011,0.011104396,0.01653307,0.02187388,0.018568999,0.013614294
"Delaware, IN",2011,0.050354206,0.080174337,0.123147438,0.081480945,0.054521717
"Dubois, IN",2011,0.024871972,0.040633057,0.039965141,0.044562991,0.0332035
"Elkhart, IN",2011,0.111616129,0.153212645,0.212160858,0.186024393,0.142735913
"Fayette, IN",2011,0.005082971,0.013223678,0.020021732,0.009650031,0.006077084
"Floyd, IN",2011,0.026196993,0.07070688,0.076231502,0.052115378,0.035849335
"Fountain, IN",2011,0.00465304,0.008771199,0.012241386,0.007918642,0.004535254
"Franklin, IN",2011,0.003720562,0.016604547,0.018735487,0.007398936,0.002855778
"Fulton, IN",2011,0.005467885,0.011884326,0.016246835,0.010918172,0.00641675
"Gibson, IN",2011,0.02902454,0.023885358,0.030192551,0.027586407,0.025672832
"Grant, IN",2011,0.027531386,0.049138195,0.070307717,0.046400058,0.034522539
"Greene, IN",2011,0.005270995,0.021051046,0.02956046,0.012795773,0.005879179
"Hamilton, IN",2011,0.150541343,0.400940119,0.306480312,0.229545076,0.184440587
"Hancock, IN",2011,0.021064386,0.0649822,0.071022542,0.039596106,0.025799418
"Harrison, IN",2011,0.009242985,0.028075533,0.036411973,0.020563859,0.010924353
"Hendricks, IN",2011,0.048362631,0.140832256,0.15760026,0.099174116,0.065569993
"Henry, IN",2011,0.011070367,0.031477806,0.047733352,0.021410734,0.012385558
"Howard, IN",2011,0.048836272,0.061966773,0.084785139,0.062516738,0.054520807
"Huntington, IN",2011,0.013294972,0.025694353,0.034348025,0.02410481,0.015589262
"Jackson, IN",2011,0.020399066,0.032491285,0.040941407,0.030957982,0.022615642
"Jasper, IN",2011,0.014573988,0.024842462,0.030123054,0.018981579,0.012043397
"Jay, IN",2011,0.00769291,0.011368318,0.01685907,0.012613369,0.007242393
"Jefferson, IN",2011,0.014747047,0.022049053,0.029047506,0.019847273,0.013614598
"Jennings, IN",2011,0.005721571,0.01541198,0.024381284,0.011660816,0.007561252
"Johnson, IN",2011,0.041647364,0.131688374,0.149877277,0.08552423,0.051227204
"Knox, IN",2011,0.016903446,0.028591294,0.035725829,0.028095979,0.020150582
"Kosciusko, IN",2011,0.060574119,0.064963935,0.078786341,0.062079548,0.052364457
"LaPorte, IN",2011,0.045149355,0.088331457,0.116479043,0.07477109,0.052728131
"Lagrange, IN",2011,0.011097049,0.021002974,0.034702128,0.023270964,0.01192315
"Lake, IN",2011,0.254274933,0.432452205,0.540937547,0.346694655,0.295636426
"Lawrence, IN",2011,0.011559034,0.031241601,0.044157019,0.023421519,0.014053637
"Madison, IN",2011,0.03765473,0.091703305,0.137901745,0.072734248,0.046679372
"Marion, IN",2011,1,1,1,1,1
"Marshall, IN",2011,0.016449857,0.033107045,0.04509247,0.030888495,0.019807444
"Martin, IN",2011,0.009317562,0.003210259,0.004680562,0.00952119,0.014849235
"Miami, IN",2011,0.008103395,0.019192522,0.033839484,0.015873475,0.010138365
"Monroe, IN",2011,0.062189498,0.107428923,0.146937447,0.120900438,0.081048888
"Montgomery, IN",2011,0.01626071,0.027089265,0.035553742,0.025008143,0.018502027
"Morgan, IN",2011,0.015292154,0.05683116,0.069841095,0.028800984,0.015883405
"Newton, IN",2011,0.002587874,0.006464931,0.008839346,0.004357425,0.002862859
"Noble, IN",2011,0.017542837,0.030785428,0.045433335,0.029572582,0.019527059
"Ohio, IN",2011,0.000501681,0.000203531,0,0,0.000248047
"Orange, IN",2011,0.004892033,0.009244227,0.015341169,0.011000688,0.006814346
"Owen, IN",2011,0.004236233,0.010835479,0.017086314,0.007584235,0.004429608
